2026-04-14T22:25:01 | Gateway: GW01 | Sensor: S101 | Valor: 46
2026-04-14T22:25:21 | Gateway: GW01 | Sensor: S101 | Valor: 59
2026-04-15T16:01:56 | Gateway: GW01 | Sensor: S101 | Valor: 82
2026-04-15T16:02:17 | Gateway: GW01 | Sensor: S101 | Valor: 63
2026-04-15T16:03:15 | Gateway: GW01 | Sensor: S101 | Valor: 90
2026-04-15T16:03:35 | Gateway: GW01 | Sensor: S101 | Valor: 87
2026-04-15T16:03:56 | Gateway: GW01 | Sensor: S101 | Valor: 63
2026-04-15T16:04:16 | Gateway: GW01 | Sensor: S101 | Valor: 81
2026-04-16T14:16:20 | Gateway: GW01 | Sensor: S101 | Valor: 75
2026-04-16T14:16:41 | Gateway: GW01 | Sensor: S101 | Valor: 88
2026-04-16T14:17:01 | Gateway: GW01 | Sensor: S101 | Valor: 74
2026-04-16T14:17:22 | Gateway: GW01 | Sensor: S101 | Valor: 60
2026-04-16T14:17:42 | Gateway: GW01 | Sensor: S101 | Valor: 39
2026-04-16T14:18:03 | Gateway: GW01 | Sensor: S101 | Valor: 90
2026-04-16T14:22:07 | Gateway: GW01 | Sensor: S101 | Valor: 68
2026-04-16T14:22:27 | Gateway: GW01 | Sensor: S101 | Valor: 89
2026-04-16T14:22:48 | Gateway: GW01 | Sensor: S101 | Valor: 90
2026-04-16T14:23:08 | Gateway: GW01 | Sensor: S101 | Valor: 90
2026-04-16T14:23:29 | Gateway: GW01 | Sensor: S101 | Valor: 38
2026-04-16T14:23:50 | Gateway: GW01 | Sensor: S101 | Valor: 61
2026-04-16T14:24:10 | Gateway: GW01 | Sensor: S101 | Valor: 87
2026-04-16T14:47:05 | Gateway: GW01 | Sensor: S101 | Valor: 49
