2026-04-14T18:37:03 | Gateway: GW01 | Sensor: S108 | Valor: 7.5
2026-04-14T18:37:51 | Gateway: GW01 | Sensor: S108 | Valor: 14.2
2026-04-14T18:38:05 | Gateway: GW01 | Sensor: S108 | Valor: 56.6
2026-04-14T18:38:11 | Gateway: GW01 | Sensor: S108 | Valor: 46.5
2026-04-14T18:38:16 | Gateway: GW01 | Sensor: S108 | Valor: 53.5
2026-04-14T18:38:31 | Gateway: GW01 | Sensor: S108 | Valor: 26.0
2026-04-14T18:41:13 | Gateway: GW01 | Sensor: S108 | Valor: 4.8
2026-04-14T18:41:26 | Gateway: GW01 | Sensor: S108 | Valor: 50.2
2026-04-14T18:41:31 | Gateway: GW01 | Sensor: S108 | Valor: 26.7
2026-04-14T18:41:37 | Gateway: GW01 | Sensor: S108 | Valor: 16.9
2026-04-14T18:41:42 | Gateway: GW01 | Sensor: S108 | Valor: 42.4
2026-04-14T18:41:47 | Gateway: GW01 | Sensor: S108 | Valor: 11.2
2026-04-14T18:41:52 | Gateway: GW01 | Sensor: S108 | Valor: 55.9
2026-04-14T18:41:57 | Gateway: GW01 | Sensor: S108 | Valor: 27.9
2026-04-14T18:43:20 | Gateway: GW01 | Sensor: S108 | Valor: 40.6
2026-04-14T18:43:25 | Gateway: GW01 | Sensor: S108 | Valor: 56.2
2026-04-14T18:43:30 | Gateway: GW01 | Sensor: S108 | Valor: 37.5
2026-04-14T18:43:35 | Gateway: GW01 | Sensor: S108 | Valor: 50.1
2026-04-14T18:43:40 | Gateway: GW01 | Sensor: S108 | Valor: 5.6
2026-04-14T18:44:17 | Gateway: GW01 | Sensor: S108 | Valor: 31.8
