2026-04-14T14:24:25 | Gateway: GW01 | Sensor: S101 | Valor: 27
2026-04-14T14:24:36 | Gateway: GW01 | Sensor: S101 | Valor: 74
2026-04-14T14:24:46 | Gateway: GW01 | Sensor: S101 | Valor: 78
2026-04-14T14:24:57 | Gateway: GW01 | Sensor: S101 | Valor: 89
2026-04-14T14:25:08 | Gateway: GW01 | Sensor: S101 | Valor: 62
2026-04-14T14:31:04 | Gateway: GW01 | Sensor: S101 | Valor: 34
2026-04-14T14:31:15 | Gateway: GW01 | Sensor: S101 | Valor: 75
2026-04-14T14:31:26 | Gateway: GW01 | Sensor: S101 | Valor: 87
2026-04-14T14:31:36 | Gateway: GW01 | Sensor: S101 | Valor: 100
2026-04-14T14:31:47 | Gateway: GW01 | Sensor: S101 | Valor: 33
2026-04-14T14:31:57 | Gateway: GW01 | Sensor: S101 | Valor: 94
2026-04-14T14:40:55 | Gateway: GW01 | Sensor: S101 | Valor: 33
2026-04-14T14:41:06 | Gateway: GW01 | Sensor: S101 | Valor: 38
2026-04-14T14:41:16 | Gateway: GW01 | Sensor: S101 | Valor: 27
2026-04-14T14:41:27 | Gateway: GW01 | Sensor: S101 | Valor: 26
2026-04-14T14:41:37 | Gateway: GW01 | Sensor: S101 | Valor: 47
2026-04-14T14:41:48 | Gateway: GW01 | Sensor: S101 | Valor: 77
2026-04-14T14:50:39 | Gateway: GW01 | Sensor: S102 | Valor: 91
2026-04-14T14:50:50 | Gateway: GW01 | Sensor: S102 | Valor: 83
2026-04-14T14:51:00 | Gateway: GW01 | Sensor: S102 | Valor: 64
2026-04-14T14:51:11 | Gateway: GW01 | Sensor: S102 | Valor: 60
2026-04-14T14:51:21 | Gateway: GW01 | Sensor: S102 | Valor: 72
2026-04-14T14:51:32 | Gateway: GW01 | Sensor: S102 | Valor: 100
2026-04-14T14:54:03 | Gateway: GW01 | Sensor: S102 | Valor: 91
2026-04-14T14:54:13 | Gateway: GW01 | Sensor: S102 | Valor: 56
2026-04-14T14:54:24 | Gateway: GW01 | Sensor: S102 | Valor: 30
2026-04-14T14:54:34 | Gateway: GW01 | Sensor: S102 | Valor: 38
2026-04-14T14:54:45 | Gateway: GW01 | Sensor: S102 | Valor: 54
2026-04-14T14:54:55 | Gateway: GW01 | Sensor: S102 | Valor: 80
2026-04-14T14:55:06 | Gateway: GW01 | Sensor: S102 | Valor: 90
2026-04-14T14:57:37 | Gateway: GW01 | Sensor: S102 | Valor: 34
2026-04-14T14:57:48 | Gateway: GW01 | Sensor: S102 | Valor: 34
2026-04-14T14:57:58 | Gateway: GW01 | Sensor: S102 | Valor: 96
2026-04-14T14:58:09 | Gateway: GW01 | Sensor: S102 | Valor: 65
2026-04-14T14:58:19 | Gateway: GW01 | Sensor: S102 | Valor: 49
2026-04-14T14:58:30 | Gateway: GW01 | Sensor: S102 | Valor: 55
