2026-04-14T22:24:38 | Gateway: GW01 | Sensor: S102 | Valor: 33.5
2026-04-14T22:24:58 | Gateway: GW01 | Sensor: S102 | Valor: 31.8
2026-04-14T22:25:01 | Gateway: GW01 | Sensor: S101 | Valor: 20.2
2026-04-14T22:25:19 | Gateway: GW01 | Sensor: S102 | Valor: 26.0
2026-04-14T22:25:21 | Gateway: GW01 | Sensor: S101 | Valor: 22.9
2026-04-15T16:01:56 | Gateway: GW01 | Sensor: S101 | Valor: 15.4
2026-04-15T16:02:17 | Gateway: GW01 | Sensor: S101 | Valor: 26.8
2026-04-15T16:03:15 | Gateway: GW01 | Sensor: S101 | Valor: 20.9
2026-04-15T16:03:35 | Gateway: GW01 | Sensor: S101 | Valor: 22.8
2026-04-15T16:03:55 | Gateway: GW01 | Sensor: S101 | Valor: 23.2
2026-04-15T16:04:16 | Gateway: GW01 | Sensor: S101 | Valor: 29.5
2026-04-16T14:16:20 | Gateway: GW01 | Sensor: S101 | Valor: 23.4
2026-04-16T14:16:41 | Gateway: GW01 | Sensor: S101 | Valor: 15.2
2026-04-16T14:17:01 | Gateway: GW01 | Sensor: S101 | Valor: 20.5
2026-04-16T14:17:21 | Gateway: GW01 | Sensor: S101 | Valor: 30.8
2026-04-16T14:17:42 | Gateway: GW01 | Sensor: S101 | Valor: 21.7
2026-04-16T14:18:03 | Gateway: GW01 | Sensor: S101 | Valor: 15.9
2026-04-16T14:22:07 | Gateway: GW01 | Sensor: S101 | Valor: 28.1
2026-04-16T14:22:27 | Gateway: GW01 | Sensor: S101 | Valor: 14.7
2026-04-16T14:22:48 | Gateway: GW01 | Sensor: S101 | Valor: 18.9
2026-04-16T14:23:08 | Gateway: GW01 | Sensor: S101 | Valor: 25.9
2026-04-16T14:23:29 | Gateway: GW01 | Sensor: S101 | Valor: 18.1
2026-04-16T14:23:50 | Gateway: GW01 | Sensor: S101 | Valor: 25.3
2026-04-16T14:24:10 | Gateway: GW01 | Sensor: S101 | Valor: 20.2
2026-04-16T14:47:05 | Gateway: GW01 | Sensor: S101 | Valor: 16.6
